,correlation
is_canceled,1.0
lead_time,0.1838300840485798
adr,0.13227861357193532
total_guests,0.09412719668546075
arrival_date_year,0.08401676707329789
adults,0.08039573239064757
total_stay,0.08016756446216641
stays_in_week_nights,0.07949496131325524
is_family,0.058183239502144955
children,0.057538883947375684
stays_in_weekend_nights,0.05623424330936731
previous_cancellations,0.05207538450485572
days_in_waiting_list,0.005158320517460741
arrival_date_day_of_month,0.004004913879375755
arrival_date_week_number,-0.0009803710934550146
agent,-0.009293451539430425
babies,-0.019402427807714825
previous_bookings_not_canceled,-0.0505479786889951
company,-0.07434184187531362
is_repeated_guest,-0.08986860877934019
booking_changes,-0.09240804701720724
total_of_special_requests,-0.11650431200607696
required_car_parking_spaces,-0.17944946942034906
