FPR,TPR,Baseline
0.0,0.0,0.0
0.0,0.4079493339157021,0.0
0.0,0.6180388731164009,0.0
0.0,0.7447040838611051,0.0
0.0,0.8183009390696658,0.0
0.0,0.8656911989517362,0.0
0.0,0.8986678314042368,0.0
0.0,0.9174492247215549,0.0
0.0,0.9327364053286744,0.0
0.0,0.939288054160297,0.0
0.0,0.9473684210526315,0.0
0.0,0.9515177986459926,0.0
0.0,0.9545752347674165,0.0
0.0,0.9571958943000655,0.0
0.0,0.9580694474776152,0.0
0.0,0.9591613889495523,0.0
0.0,0.9604717187158768,0.0
0.0,0.9624372133653636,0.0
0.0,0.9665865909587246,0.0
0.0,0.9689888621969862,0.0
0.0,0.9707359685520857,0.0
0.0,0.9731382397903472,0.0
0.0,0.974011792967897,0.0
0.0,0.9761956759117711,0.0
0.0,0.9779427822668705,0.0
0.0,0.9803450535051321,0.0
0.0,0.9847128193928806,0.0
0.0,0.9866783140423673,0.0
0.0,0.9892989735750164,0.0
0.0,0.9906093033413409,0.0
0.0,0.9910460799301157,0.0
0.0,0.9941035160515397,0.0
0.0,0.9949770692290894,0.0
0.0,0.9954138458178642,0.0
0.0,0.9967241755841887,0.0
0.0,0.9975977287617384,0.0
0.0,0.9978161170561258,0.0
0.0,0.9982528936449007,0.0
0.0,1.0,0.0
0.00016248273620927777,1.0,0.00016248273620927777
0.00032496547241855553,1.0,0.00032496547241855553
0.0004874482086278333,1.0,0.0004874482086278333
0.0006499309448371111,1.0,0.0006499309448371111
0.0008936550491510277,1.0,0.0008936550491510277
0.0017060687301974165,1.0,0.0017060687301974165
0.0021935169388252497,1.0,0.0021935169388252497
0.003005930619871639,1.0,0.003005930619871639
0.004143309773336583,1.0,0.004143309773336583
0.006661792184580388,1.0,0.006661792184580388
0.010723860589812333,1.0,0.010723860589812333
0.017223170038183442,1.0,0.017223170038183442
0.027297099683158663,1.0,0.027297099683158663
0.05110082053781786,1.0,0.05110082053781786
0.09943943456007799,1.0,0.09943943456007799
0.20009748964172558,1.0,0.20009748964172558
0.4274108375985052,1.0,0.4274108375985052
1.0,1.0,1.0
